Installation Date,Station Name,Latitude,Longitude,Dock
12/19/13,1919 Runnels,29.76074791,-95.34793091,11
4/18/18,2222 Smith,29.74999,-95.37566,11
1/17/18,24ELEVEN WASHINGTON,29.76822,-95.38286,9
7/23/19,8th Wonder,29.7492,-95.3556,15
9/25/18,Amherst & Kelvin,29.71593,-95.41667,9
6/14/17,Baldwin Park,29.73837,-95.371,13
4/18/18,Ben Taub Hospital,29.71147,-95.39331,13
8/15/18,BioScience Research Center,29.71089,-95.40156,13
6/26/18,Bobcat Teddys,29.78152,-95.38874,9
11/17/15,Brazos & McGowen,29.74799347,-95.37837982,13
7/24/19,Burnett Transit Center,29.772011,-95.359174,18
10/24/17,Centennial Gardens,29.720196,-95.386523,13
7/23/19,Change Happens,29.7291,-95.3535,9
5/2/12,City Hall,29.75976563,-95.36933899,11
6/10/13,Clay & Smith,29.75771904,-95.36981964,13
1/17/17,Crawford Island,29.754428,-95.359303,19
9/25/18,Dunstan & Kelvin,29.7191,-95.41671,11
3/27/13,Elgin & Smith,29.74367905,-95.38031769,11
6/13/17,Emancipation Park,29.73529,-95.36453,13
2/21/13,Ensemble/HCC Station ,29.73929596,-95.37915802,14
3/25/13,Freed Library,29.73544502,-95.39156342,9
7/25/17,Gateway on Cullen,29.7341,-95.34114,9
4/25/17,Guadalupe Park Plaza,29.759673,-95.345536,15
10/24/17,HCC Central,29.738365,-95.376953,13
7/24/17,Health Museum,29.72151,-95.38606,15
5/29/19,Heights Central Station,29.79058,-95.3976,7
5/29/19,Heights Mercantile,29.78335,-95.39888,15
3/29/13,Hermann Park Lake Plaza,29.71639442,-95.39039612,13
12/8/2015;12/20/2017,Jackson Hill & Memorial Dr,29.76373863,-95.40198517,15
7/30/19,Jesse H. Jones Student Life Center,29.76676,-95.35963,18
6/14/2017;11/28/2017,Jury Assembly,29.76161,-95.35802,21
3/27/13,LaBranch & Lamar,29.75374413,-95.36116028,11
5/2/12,Lamar & Crawford (formerly GRB),29.75248337,-95.36073303,11
3/27/13,Lamar & Milam,29.75726891,-95.36749268,14
9/11/13,Leonel Castillo Comm Center,29.77857399,-95.36695099,11
4/26/17,Lost Lake,29.759209,-95.402012,22
3/30/13,Main & Dallas,29.75526237,-95.36601257,13
3/22/16,Main & Walker,29.75764,-95.36436,13
4/25/17,Main & Wichita,29.729854,-95.386556,11
4/25/12,Market Square,29.76276779,-95.36197662,10
3/26/13,McKinney & Caroline,29.75562668,-95.36245728,15
5/1/18,Memorial City Club,29.78199,-95.53517,9
1/31/19,Memorial Park Picnic Loop,29.7649,-95.4402,18
1/31/19,Memorial Park Running Center,29.7671,-95.4474,15
9/9/13,Menil Collection,29.75562668,-95.36245728,13
3/26/13,Metro Transit Center,29.74986076,-95.37071991,11
3/29/13,MFAH/ Fannin & Binz,29.72486305,-95.38922882,13
3/6/19,Midtown Park,29.74391,-95.37554,13
9/10/13,Milam & Webster,29.74874878,-95.37413788,11
2/7/18,Montie Beach Park,29.80017,-95.37847,13
6/13/17,Moody ParkÂ ,29.79461,-95.36553,17
6/29/17,Nagivation Esplanade,29.75793,-95.34371,13
7/25/16,Pearl City Centre,29.781732,-95.5562342,7
7/24/17,Pearl Washington,29.77078,-95.41696,13
9/25/13,Project Row House,29.73172951,-95.36529541,9
2/8/18,Rice U. Cambridge Office Bldg,29.71139,-95.3996,13
4/18/18,Rice U. Duncan Hall,29.72034,-95.3982,13
10/25/17,Rice U. Gibbs Rec & Wellness,29.7182761,-95.4036246,9
10/25/17,Rice U. Greenbriar Lot,29.715734,-95.4126,18
2/16/18,Rice U. South Servery,29.71537,-95.40145,13
10/26/17,Rice U. West Lot,29.714785,-95.406,27
2/9/18,Rice Village Apartments,29.71434,-95.41499,15
3/26/13,Rusk & St. Emanuel,29.75273705,-95.35410309,9
3/28/13,Sabine Bridge,29.76187897,-95.3756485,21
3/6/19,Saint Arnold Brewing Company,29.77155,-95.34773,11
7/30/19,Shea St Building/Lot B,29.76987,-95.35802,14
3/28/13,Smith & Capitol,29.7615242,-95.36669922,15
7/31/19,Soccer Field/White Oak Bayou Trailhead,29.76818,-95.35969,22
9/10/13,Spotts Park,29.76618004,-95.3969574,14
9/19/13,Stude Park,29.77926064,-95.38558197,11
9/9/13,Taft & Fairview,29.74820328,-95.38568115,11
11/28/18,The Southmore,29.72687,-95.38608,17
2/23/13,Tellepsen YMCA,29.75261307,-95.37070465,10
7/25/18,TMC Commons,29.70972,-95.39778,13
7/25/18,TMC Fannin & Ross Sterling,29.71356,-95.39765,15
7/24/18,TMC Garage 2,29.7064,-95.39938,9
11/27/18,TMC Garage 8,29.70604,-95.40801,15
10/23/18,TMC Pressler & Bertner,29.70447,-95.39884,13
7/24/18,TMC Transit Center,29.7046,-95.40286,13
11/7/18,TSU Rec & Wellness Center,29.72258,-95.36395,13
11/6/18,TSU Student Center East,29.7212,-95.36031,7
11/6/18,TSU Student Center West,29.72167,-95.36164,11
11/8/18,TSU University Courtyard Apartments,29.71881,-95.35838,11
11/7/18,TSU University Towers,29.72066,-95.35627,9
11/27/18,UH Blaffer Art Museum/GDH School of Architecture,29.72454,-95.34209,18
8/13/18,UH Cougar Village,29.71736,-95.34367,22
8/14/18,UH Student Center North,29.72092,-95.34133,18
11/29/18,UH Student Garage/METRORail,29.71607,-95.34088,13
8/15/18,UH TDECU Cullen & Cougar Place,29.72061,-95.34835,19
8/16/18,UH Technology Bridge,29.7179,-95.32812,30
3/30/13,UHD Main & Franklin,29.75261307,-95.37070465,9
10/23/18,UT Research Park,29.69384,-95.39421,22
10/24/18,UTHSC Housing & Rec Center,29.69151,-95.39655,30
10/24/18,UTMDA 1MC Bertner & Braeswood,29.70027,-95.39869,18
10/25/18,UTMDA Main Campus MDA Blvd,29.70758,-95.39566,18
4/5/13,West Gray & Baldwin,29.75246048,-95.37767029,11
3/27/2013;11/28/17,Westheimer & Waugh,29.74484253,-95.3927536,14
4/26/17,Woodland Park,29.783564,-95.372045,15
10/31/19,Heights M-K-T @ N. Shepherd,29.78328,-95.372045,18
10/30/19,MacGregor Park,29.71017,-95.34025,17
10/30/19,Eastwood Park,29.74252,-95.32492,15